id,conflict_keyword_count,non_conflict_keyword_count,keyword_density,conflict_ratio,negative_word_count,question_mark_count,exclamation_mark_count,conflict_phrase_count,government_phrase_count,word_count,label
7,3,45,0.00872093023255814,0.0625,1,0,0,0,0,344,0
8,3,45,0.00872093023255814,0.0625,1,0,0,0,0,344,0
9,3,45,0.00872093023255814,0.0625,1,0,0,0,0,344,0
10,8,200,0.007699711260827719,0.038461538461538464,9,0,0,0,5,1039,0
11,6,202,0.005923000987166831,0.028846153846153848,5,0,0,0,5,1013,0
12,8,198,0.007751937984496124,0.038834951456310676,5,0,0,0,5,1032,0
13,5,193,0.00484027105517909,0.025252525252525252,10,0,0,0,5,1033,0
14,6,205,0.005797101449275362,0.02843601895734597,5,0,0,0,5,1035,0
15,5,210,0.004868549172346641,0.023255813953488372,5,0,0,0,5,1027,0
16,4,186,0.003976143141153081,0.021052631578947368,5,0,0,0,5,1006,0
17,5,213,0.004897159647404506,0.022935779816513763,5,0,0,0,5,1021,0
18,6,209,0.005819592628516004,0.027906976744186046,5,0,0,0,5,1031,0
19,6,208,0.005853658536585366,0.028037383177570093,5,0,0,0,5,1025,0
20,5,205,0.004965243296921549,0.023809523809523808,5,0,0,0,5,1007,0
21,4,182,0.003861003861003861,0.021505376344086023,5,0,0,0,5,1036,0
22,7,205,0.006756756756756757,0.0330188679245283,9,0,0,0,5,1036,0
23,6,179,0.005970149253731343,0.032432432432432434,9,0,0,0,5,1005,0
24,6,173,0.005842259006815969,0.0335195530726257,5,0,0,0,5,1027,0
25,5,196,0.004897159647404506,0.024875621890547265,5,0,0,0,5,1021,0
26,5,211,0.0048216007714561235,0.023148148148148147,5,0,0,0,5,1037,0
27,5,198,0.0049261083743842365,0.024630541871921183,6,0,0,0,5,1015,0
28,6,207,0.005808325266214908,0.028169014084507043,9,0,0,0,5,1033,0
29,4,179,0.003864734299516908,0.02185792349726776,5,0,0,0,5,1035,0
30,6,192,0.005905511811023622,0.030303030303030304,6,0,0,0,5,1016,0
31,7,203,0.0068762278978389,0.03333333333333333,9,0,0,0,5,1018,0
32,5,202,0.004887585532746823,0.024154589371980676,5,0,0,0,5,1023,0
33,4,208,0.003838771593090211,0.018867924528301886,5,0,0,0,5,1042,0
34,8,199,0.007707129094412331,0.03864734299516908,5,0,0,0,5,1038,0
35,6,191,0.005888125613346418,0.030456852791878174,5,0,0,0,5,1019,0
36,6,210,0.005842259006815969,0.027777777777777776,9,0,0,0,5,1027,0
37,5,200,0.0048449612403100775,0.024390243902439025,5,0,0,0,5,1032,0
38,5,188,0.0048449612403100775,0.025906735751295335,5,0,0,0,5,1032,0
39,6,196,0.005876591576885406,0.0297029702970297,5,0,0,0,5,1021,0
41,0,8,0.0,0.0,0,0,0,0,0,168,0
42,0,3,0.0,0.0,0,0,1,0,0,133,0
43,0,14,0.0,0.0,0,0,0,0,0,62,0
44,0,14,0.0,0.0,0,0,0,0,0,62,0
45,0,8,0.0,0.0,1,0,0,0,0,174,0
46,2,8,0.010638297872340425,0.2,1,0,0,0,0,188,0
47,0,4,0.0,0.0,0,0,0,0,1,172,0
48,7,30,0.012681159420289856,0.1891891891891892,4,0,0,0,0,552,0
49,0,6,0.0,0.0,0,0,0,0,0,336,0
50,0,18,0.0,0.0,0,0,0,0,1,100,0
52,2,16,0.0041928721174004195,0.1111111111111111,2,0,0,0,0,477,0
58,0,18,0.0,0.0,0,0,0,0,0,228,0
59,0,15,0.0,0.0,0,0,0,0,0,195,0
60,5,20,0.09090909090909091,0.2,0,0,0,0,0,55,0
61,0,60,0.0,0.0,0,0,0,0,0,165,0
62,0,15,0.0,0.0,0,0,0,0,0,195,0
63,0,24,0.0,0.0,0,0,0,0,0,60,0
64,45,60,0.25,0.42857142857142855,0,0,0,0,0,180,0
65,0,20,0.0,0.0,0,0,0,0,0,55,0
66,0,52,0.0,0.0,0,0,0,0,0,130,0
67,0,35,0.0,0.0,0,0,0,0,0,273,0
68,0,9,0.0,0.0,0,0,0,0,0,114,0
69,120,15,0.5,0.8888888888888888,0,0,0,0,0,240,1
70,108,24,0.5625,0.8181818181818182,0,0,0,0,0,192,1
71,42,24,0.4375,0.6363636363636364,0,0,0,0,0,96,1
72,120,15,0.5,0.8888888888888888,0,0,0,0,0,240,1
73,56,8,0.4666666666666667,0.875,0,0,0,0,0,120,1
74,108,24,0.5625,0.8181818181818182,0,0,0,0,0,192,1
75,36,6,0.375,0.8571428571428571,0,0,0,0,0,96,1
76,112,14,0.5333333333333333,0.8888888888888888,0,0,0,0,0,210,1
77,42,18,0.4375,0.7,0,0,0,0,0,96,1
78,90,20,0.5625,0.8181818181818182,0,0,0,0,0,160,1
79,80,20,0.5333333333333333,0.8,0,0,0,0,0,150,1
80,60,10,0.4,0.8571428571428571,0,0,0,0,0,150,1
81,120,30,0.5333333333333333,0.8,0,0,0,0,0,225,1
82,70,40,0.4375,0.6363636363636364,0,0,0,0,0,160,1
