sample_id,conflict_keyword_count,non_conflict_keyword_count,keyword_density,conflict_ratio,negative_word_count,question_mark_count,exclamation_mark_count,government_phrase_count,word_count,label
PLAN_0_0001,0,0,0.0,0.0,0,0,0,0,47,0
PLAN_0_0002,0,1,0.0,0.0,0,0,0,7,358,0
PLAN_0_0003,0,2,0.0,0.0,0,0,0,12,576,0
PLAN_0_0004,0,1,0.0,0.0,0,0,0,4,185,0
PLAN_0_0005,1,4,0.0038314176245210726,0.2,0,0,0,6,261,0
PLAN_0_0006,0,3,0.0,0.0,0,0,0,2,163,0
PLAN_0_0007,0,15,0.0,0.0,0,0,0,2,1472,0
PLAN_0_0008,0,30,0.0,0.0,0,0,0,9,669,0
PLAN_0_0009,0,30,0.0,0.0,0,0,0,9,668,0
PLAN_0_0010,0,30,0.0,0.0,0,0,0,9,667,0
PLAN_0_0011,3,62,0.0013477088948787063,0.046153846153846156,3,0,0,14,2226,0
PLAN_0_0012,3,60,0.0013233348037053375,0.047619047619047616,2,0,0,14,2267,0
PLAN_0_0013,4,56,0.001638001638001638,0.06666666666666667,2,0,0,10,2442,0
PLAN_0_0014,4,35,0.0015060240963855422,0.10256410256410256,2,0,0,8,2656,0
PLAN_0_0015,3,65,0.0013812154696132596,0.04411764705882353,2,0,0,15,2172,0
PLAN_0_0016,3,61,0.0013812154696132596,0.046875,2,0,0,15,2172,0
PLAN_0_0017,4,54,0.0016597510373443983,0.06896551724137931,2,0,0,11,2410,0
PLAN_0_0018,3,66,0.0013736263736263737,0.043478260869565216,2,0,0,15,2184,0
PLAN_0_0019,3,63,0.0013824884792626728,0.045454545454545456,2,0,0,15,2170,0
PLAN_0_0020,3,65,0.0013921113689095127,0.04411764705882353,2,0,0,15,2155,0
PLAN_0_0021,3,60,0.0013550135501355014,0.047619047619047616,2,0,0,14,2214,0
PLAN_0_0022,5,54,0.002059308072487644,0.0847457627118644,2,0,0,11,2428,0
PLAN_0_0023,3,54,0.001279863481228669,0.05263157894736842,3,0,0,14,2344,0
PLAN_0_0024,4,50,0.0015980823012385138,0.07407407407407407,3,0,0,10,2503,0
PLAN_0_0025,6,55,0.002569593147751606,0.09836065573770492,5,0,0,10,2335,0
PLAN_0_0026,3,59,0.0013339261894175188,0.04838709677419355,2,0,0,14,2249,0
PLAN_0_0027,3,58,0.0013015184381778742,0.04918032786885246,2,0,0,14,2305,0
PLAN_0_0028,4,55,0.0016771488469601676,0.06779661016949153,2,0,0,11,2385,0
PLAN_0_0029,3,59,0.0013507429085997298,0.04838709677419355,3,0,0,14,2221,0
PLAN_0_0030,4,53,0.001713796058269066,0.07017543859649122,2,0,0,11,2334,0
PLAN_0_0031,5,58,0.0021635655560363477,0.07936507936507936,2,0,0,11,2311,0
PLAN_0_0032,3,59,0.0013333333333333333,0.04838709677419355,3,0,0,14,2250,0
PLAN_0_0033,3,60,0.001327433628318584,0.047619047619047616,2,0,0,14,2260,0
PLAN_0_0034,4,55,0.0016611295681063123,0.06779661016949153,2,0,0,11,2408,0
PLAN_0_0035,5,62,0.0022675736961451248,0.07462686567164178,5,0,0,10,2205,0
PLAN_0_0036,5,69,0.0021958717610891525,0.06756756756756757,2,0,0,12,2277,0
PLAN_0_0037,3,56,0.0012836970474967907,0.05084745762711865,3,0,0,14,2337,0
PLAN_0_0038,4,61,0.0017123287671232876,0.06153846153846154,2,0,0,11,2336,0
PLAN_0_0039,6,58,0.0024193548387096775,0.09375,5,0,0,9,2480,0
PLAN_0_0040,5,69,0.002276867030965392,0.06756756756756757,2,0,0,12,2196,0
PLAN_0_0041,0,0,0.0,0.0,1,0,0,2,618,0
PLAN_0_0042,0,7,0.0,0.0,0,0,0,2,345,0
PLAN_0_0043,0,1,0.0,0.0,0,0,1,2,276,0
PLAN_0_0044,0,5,0.0,0.0,0,0,0,5,129,0
PLAN_0_0045,0,5,0.0,0.0,0,0,0,5,129,0
PLAN_0_0046,0,5,0.0,0.0,0,0,0,2,330,0
PLAN_0_0047,0,5,0.0,0.0,0,0,0,2,338,0
PLAN_0_0048,0,2,0.0,0.0,0,0,0,7,353,0
PLAN_0_0049,0,16,0.0,0.0,0,0,0,9,997,0
PLAN_0_0050,0,3,0.0,0.0,0,0,0,7,645,0
PLAN_0_0051,0,10,0.0,0.0,0,0,0,5,201,0
