sample_id,label,split,random_seed
CONFLICT_1_0001,1,test,42
CONFLICT_1_0002,1,train,42
CONFLICT_1_0003,1,train,42
CONFLICT_1_0004,1,test,42
CONFLICT_1_0005,1,train,42
CONFLICT_1_0006,1,train,42
CONFLICT_1_0007,1,train,42
CONFLICT_1_0008,1,train,42
CONFLICT_1_0009,1,train,42
CONFLICT_1_0010,1,train,42
CONFLICT_1_0011,1,test,42
CONFLICT_1_0012,1,train,42
CONFLICT_1_0013,1,train,42
CONFLICT_1_0014,1,train,42
PLAN_0_0001,0,train,42
PLAN_0_0002,0,train,42
PLAN_0_0003,0,train,42
PLAN_0_0004,0,train,42
PLAN_0_0005,0,test,42
PLAN_0_0006,0,train,42
PLAN_0_0007,0,train,42
PLAN_0_0008,0,test,42
PLAN_0_0009,0,train,42
PLAN_0_0010,0,train,42
PLAN_0_0011,0,train,42
PLAN_0_0012,0,train,42
PLAN_0_0013,0,train,42
PLAN_0_0014,0,train,42
PLAN_0_0015,0,train,42
PLAN_0_0016,0,test,42
PLAN_0_0017,0,test,42
PLAN_0_0018,0,train,42
PLAN_0_0019,0,test,42
PLAN_0_0020,0,train,42
PLAN_0_0021,0,test,42
PLAN_0_0022,0,train,42
PLAN_0_0023,0,test,42
PLAN_0_0024,0,train,42
PLAN_0_0025,0,train,42
PLAN_0_0026,0,train,42
PLAN_0_0027,0,train,42
PLAN_0_0028,0,train,42
PLAN_0_0029,0,train,42
PLAN_0_0030,0,train,42
PLAN_0_0031,0,test,42
PLAN_0_0032,0,train,42
PLAN_0_0033,0,train,42
PLAN_0_0034,0,train,42
PLAN_0_0035,0,train,42
PLAN_0_0036,0,train,42
PLAN_0_0037,0,test,42
PLAN_0_0038,0,train,42
PLAN_0_0039,0,train,42
PLAN_0_0040,0,test,42
PLAN_0_0041,0,train,42
PLAN_0_0042,0,train,42
PLAN_0_0043,0,train,42
PLAN_0_0044,0,train,42
PLAN_0_0045,0,train,42
PLAN_0_0046,0,train,42
PLAN_0_0047,0,train,42
PLAN_0_0048,0,train,42
PLAN_0_0049,0,train,42
PLAN_0_0050,0,train,42
PLAN_0_0051,0,test,42
PLAN_0_0052,0,test,42
PLAN_0_0053,0,train,42
PLAN_0_0054,0,train,42
PLAN_0_0055,0,train,42
PLAN_0_0056,0,train,42
PLAN_0_0057,0,train,42
PLAN_0_0058,0,train,42
POLICY_0_0001,0,train,42
POLICY_0_0002,0,train,42
POLICY_0_0003,0,test,42
POLICY_0_0004,0,train,42
POLICY_0_0005,0,train,42
POLICY_0_0006,0,train,42
POLICY_0_0007,0,train,42
POLICY_0_0008,0,test,42
POLICY_0_0009,0,train,42
POLICY_0_0010,0,train,42
POLICY_0_0011,0,train,42
