sample_id,label,repeat,fold,random_seed
CONFLICT_1_0005,1,1,1,42
CONFLICT_1_0011,1,1,1,42
CONFLICT_1_0012,1,1,1,42
PLAN_0_0009,0,1,1,42
PLAN_0_0011,0,1,1,42
PLAN_0_0014,0,1,1,42
PLAN_0_0016,0,1,1,42
PLAN_0_0023,0,1,1,42
PLAN_0_0026,0,1,1,42
PLAN_0_0032,0,1,1,42
PLAN_0_0038,0,1,1,42
PLAN_0_0044,0,1,1,42
PLAN_0_0045,0,1,1,42
PLAN_0_0050,0,1,1,42
POLICY_0_0004,0,1,1,42
POLICY_0_0008,0,1,1,42
POLICY_0_0009,0,1,1,42
CONFLICT_1_0001,1,1,2,42
CONFLICT_1_0007,1,1,2,42
CONFLICT_1_0010,1,1,2,42
PLAN_0_0001,0,1,2,42
PLAN_0_0006,0,1,2,42
PLAN_0_0007,0,1,2,42
PLAN_0_0010,0,1,2,42
PLAN_0_0020,0,1,2,42
PLAN_0_0027,0,1,2,42
PLAN_0_0030,0,1,2,42
PLAN_0_0036,0,1,2,42
PLAN_0_0037,0,1,2,42
PLAN_0_0040,0,1,2,42
PLAN_0_0051,0,1,2,42
PLAN_0_0053,0,1,2,42
PLAN_0_0054,0,1,2,42
PLAN_0_0057,0,1,2,42
CONFLICT_1_0002,1,1,3,42
CONFLICT_1_0003,1,1,3,42
CONFLICT_1_0004,1,1,3,42
PLAN_0_0002,0,1,3,42
PLAN_0_0004,0,1,3,42
PLAN_0_0005,0,1,3,42
PLAN_0_0019,0,1,3,42
PLAN_0_0024,0,1,3,42
PLAN_0_0031,0,1,3,42
PLAN_0_0035,0,1,3,42
PLAN_0_0039,0,1,3,42
PLAN_0_0048,0,1,3,42
PLAN_0_0049,0,1,3,42
POLICY_0_0001,0,1,3,42
POLICY_0_0002,0,1,3,42
POLICY_0_0006,0,1,3,42
POLICY_0_0010,0,1,3,42
CONFLICT_1_0006,1,1,4,42
CONFLICT_1_0009,1,1,4,42
CONFLICT_1_0014,1,1,4,42
PLAN_0_0003,0,1,4,42
PLAN_0_0012,0,1,4,42
PLAN_0_0015,0,1,4,42
PLAN_0_0017,0,1,4,42
PLAN_0_0018,0,1,4,42
PLAN_0_0021,0,1,4,42
PLAN_0_0022,0,1,4,42
PLAN_0_0033,0,1,4,42
PLAN_0_0041,0,1,4,42
PLAN_0_0042,0,1,4,42
PLAN_0_0046,0,1,4,42
PLAN_0_0056,0,1,4,42
PLAN_0_0058,0,1,4,42
POLICY_0_0003,0,1,4,42
CONFLICT_1_0008,1,1,5,42
